Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Bojan Bogdanovic\bogdabo02,29,81,2573,16.1,.613,.367,.290,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,,3.9,2.8,6.8,.126,,1.4,-1.4,0.0,1.3
2,Thaddeus Young\youngth01,30,81,2489,16.2,.569,.174,.161,8.7,14.4,11.7,12.0,2.4,1.3,12.0,18.0,,3.0,3.9,6.9,.133,,0.8,2.1,2.9,3.1
3,Darren Collison\collida01,31,76,2143,16.7,.574,.294,.288,1.9,9.9,6.0,29.9,2.5,0.4,14.4,17.7,,3.9,2.9,6.8,.153,,1.2,0.0,1.2,1.8
4,Myles Turner\turnemy01,22,74,2119,18.0,.567,.251,.258,5.4,22.0,13.9,8.0,1.4,8.4,10.3,20.0,,1.9,4.4,6.3,.144,,-1.4,4.7,3.3,2.8
5,Cory Joseph\josepco01,27,82,2063,11.0,.474,.312,.078,2.1,12.6,7.5,20.7,2.2,0.9,12.4,13.7,,0.5,2.9,3.5,.081,,-2.0,1.4,-0.5,0.8
6,Domantas Sabonis\sabondo01,22,74,1838,21.9,.630,.024,.416,11.5,29.8,20.8,18.2,1.3,1.5,16.2,23.5,,4.3,3.3,7.6,.197,,1.5,2.2,3.7,2.6
7,Tyreke Evans\evansty01,29,69,1402,11.5,.483,.327,.242,2.7,13.0,7.9,17.5,2.0,1.1,13.9,26.4,,-1.7,2.0,0.3,.010,,-3.1,-0.5,-3.6,-0.6
8,Doug McDermott\mcderdo01,27,77,1340,11.6,.617,.488,.187,1.4,7.5,4.5,7.1,0.7,0.5,8.4,16.3,,1.8,1.1,2.9,.103,,0.0,-2.1,-2.1,0.0
9,Victor Oladipo\oladivi01,26,36,1147,17.6,.519,.367,.240,2.1,17.1,9.8,25.2,2.6,0.9,11.2,27.9,,0.4,1.9,2.3,.097,,1.3,1.0,2.3,1.3
10,Wesley Matthews\matthwe02,32,23,725,9.2,.543,.619,.229,1.7,8.1,5.0,10.1,1.3,0.5,11.8,15.8,,0.3,0.7,1.0,.067,,-0.5,-0.6,-1.2,0.2
11,Aaron Holiday\holidaa01,22,50,646,11.9,.518,.485,.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,,0.1,0.8,0.9,.065,,-1.5,-1.1,-2.6,-0.1
12,T.J. Leaf\leaftj01,21,58,522,16.9,.572,.169,.169,9.3,17.1,13.3,6.9,0.8,3.2,5.8,17.5,,0.9,0.7,1.6,.148,,-1.0,0.0,-1.0,0.1
13,Kyle O'Quinn\oquinky01,28,45,371,16.8,.537,.088,.154,8.9,26.4,17.8,22.4,1.2,6.0,17.6,20.8,,0.2,0.8,1.0,.125,,-2.4,4.1,1.8,0.4
14,Edmond Sumner\sumneed01,23,23,210,7.6,.443,.422,.375,4.9,7.8,6.3,6.3,2.8,2.1,11.8,17.6,,-0.2,0.3,0.1,.020,,-4.1,0.5,-3.6,-0.1
15,Alize Johnson\johnsal02,22,14,64,6.3,.333,.125,.500,7.1,25.5,16.5,2.0,0.8,4.2,0.0,13.3,,-0.1,0.1,0.0,.027,,-8.3,0.2,-8.1,-0.1
16,Davon Reed\reedda01,23,10,47,8.1,.500,.333,.000,4.8,9.2,7.1,8.5,1.0,0.0,7.7,12.1,,0.0,0.0,0.1,.064,,-2.9,-1.3,-4.2,0.0
17,Ike Anigbogu\anigbik01,20,3,6,-6.0,.000,.000,.000,18.9,36.2,27.7,19.4,0.0,14.8,25.0,29.1,,-0.1,0.0,-0.1,-0.480,,-22.5,8.5,-14.0,0.0
